ID_INE_CENSO_MUN,H,A,hogares,MPI
10101,.1472614,.43943128,69835,.064711265
10102,.32804233,.4281874,2646,.14046359
10103,.9033708,.53748935,4895,.48555219
10201,.81402677,.56405294,2538,.45915419
10202,.77238148,.53186029,3418,.41079906
10301,.60982209,.48664835,2586,.2967689
10302,.75966138,.54527348,2717,.41422319
10303,.60040361,.4961718,1982,.29790333
10304,.55051887,.48159173,1831,.26512533
10401,.55338079,.49574849,2810,.27433768
10402,.59204924,.46540546,2113,.27554294
10403,.65373135,.50786406,2010,.33200666
10404,.55597013,.46159583,1072,.25663349
10405,.66171616,.48392907,1212,.32022369
10501,.41668037,.47466773,6079,.19778472
10502,.62818664,.48553684,2079,.30500776
10601,.65731877,.4856053,4386,.31919748
10602,.61559319,.47766766,2950,.29404896
10701,.39953756,.45949075,4325,.18358381
10702,.69255745,.51560688,8008,.35708737
10703,.76826197,.55425453,2779,.42581269
10704,.73093528,.52629048,3475,.38468426
10801,.4893617,.47414041,3196,.23202616
10901,.59170985,.46779531,965,.27679908
10902,.6174373,.506872,4347,.31296167
10903,.48775893,.45130846,1062,.22012973
11001,.46050552,.46455118,2532,.21392839
11002,.6169154,.45310634,603,.27952829
11003,.46487722,.45208848,1751,.21016563
20101,.040528487,.39288396,226458,.015922992
20102,.49206677,.42243627,4853,.20786685
20103,.37432823,.41935089,4838,.15697488
20104,.47184193,.41240403,7085,.19458951
20105,.14282933,.38891008,256852,.055547766
20201,.38951194,.41385856,16228,.16120285
20202,.55002981,.41611412,5027,.22887518
20203,.3882874,.39529645,2032,.15348864
20204,.45222929,.41836202,3297,.18919556
20205,.40400317,.40250617,3797,.16261376
20206,.23044525,.38439223,1662,.088581361
20301,.6104278,.44356841,3740,.2707665
20302,.70016396,.43366417,4269,.30363601
20303,.7820549,.43262157,3533,.33833382
20304,.62242562,.42524511,1311,.26468346
20305,.66350299,.43606415,1159,.28932986
20306,.66728973,.43495178,1070,.29023886
20307,.58823532,.38954249,289,.22914265
20308,.8921147,.46328291,2790,.4133015
20401,.65036917,.42572707,5011,.27687976
20402,.61807448,.41848314,6606,.25865376
20403,.59958857,.43304223,5347,.25964716
20404,.67030358,.42879611,2108,.28742358
20405,.55137098,.41029227,3027,.22622325
20501,.54418486,.42883807,3938,.23336719
20502,.65489626,.44271511,2747,.28993246
20503,.59700722,.43157592,1938,.25765395
20601,.51897436,.43117163,8775,.22376703
20602,.46357617,.44715822,4681,.20729189
20603,.57550335,.43381926,2980,.24966444
20604,.55014604,.43284169,1027,.23812614
20605,.47786722,.40795323,994,.19494748
20606,.28724328,.39957482,3457,.11477518
20607,.2711111,.39445457,4050,.10694101
20608,.62517923,.45361876,3487,.28359303
20701,.51891893,.47634262,4625,.2471832
20702,.68609864,.44212055,2230,.30333832
20801,.32707253,.4085938,26248,.13363981
20802,.38484073,.4010995,2731,.15435943
20803,.43516973,.42107135,3594,.18323751
20804,.26444444,.38562092,2250,.10197531
20805,.6620661,.41931635,2391,.27761513
20806,.46688142,.41162381,4967,.19217952
20807,.42495877,.40204111,1819,.17085089
20901,.41707131,.41544119,3913,.1732686
20902,.65030277,.43007058,4624,.27967608
20903,.56591499,.41268626,2306,.23354533
20904,.51944894,.41740337,1234,.21681973
20905,.42442995,.42210284,3070,.17915308
21001,.74499387,.46266839,4894,.34468511
21002,.37702981,.42025581,3387,.15844896
21003,.30738655,.41738507,3019,.12829855
21004,.46277872,.42360598,5830,.19603583
21005,.71268439,.46532378,1695,.33162898
21006,.51322234,.45229009,1021,.23212537
21101,.28261226,.40757987,6079,.11518707
21102,.40790892,.42981684,6499,.17532612
21103,.22616984,.42677736,2308,.096524164
21104,.48723772,.4370206,9246,.21293291
21105,.76910102,.46921113,13638,.36087075
21201,.52315122,.43032682,10561,.225126
21202,.51513982,.42101607,7761,.21688214
21203,.42708677,.42332947,6062,.18079841
21204,.49002752,.40647176,2908,.19918235
21301,.53227174,.42653903,9420,.22703467
21302,.54939979,.42882043,3249,.23559386
21303,.59688276,.43930104,2823,.26221123
21304,.50483406,.41902462,3827,.2115379
21305,.35200748,.41539305,7497,.14622146
21306,.54593748,.43318707,3200,.23649305
21307,.44575471,.40329218,1272,.17976938
21401,.36463693,.41979182,6996,.1530716
21402,.21877323,.40234119,5380,.08802148
21501,.58414096,.44762865,2270,.26147822
21502,.35960099,.44197875,2005,.15893599
21601,.70929575,.44567999,3550,.31611893
21602,.69450104,.46203977,982,.32088709
21701,.33242613,.40051982,5144,.13314325
21702,.4795298,.41880342,2467,.20082872
21703,.60154438,.45300242,1295,.27250105
21801,.70261669,.4387407,2828,.30826655
21802,.54755044,.41888055,2429,.22935823
21803,.73992199,.43507129,769,.32191882
21901,.50601095,.40004802,1830,.20242868
21902,.52581519,.42147574,736,.22161834
22001,.43957463,.42855448,17021,.18838167
22002,.61092639,.4529981,4210,.27674851
30101,.19817789,.39802384,177376,.078879528
30201,.47638097,.4745909,6499,.22608608
30202,.56473649,.45622122,1537,.25764477
30203,.38284519,.47095731,1434,.18030374
30301,.66367227,.47393128,7347,.31453505
30302,.70477641,.48445886,3936,.34143516
30303,.80487806,.47960159,4920,.38602081
30401,.40069419,.45182335,2593,.181043
30402,.67943853,.46144304,2636,.31352219
30403,.40600145,.43776593,5532,.1777336
30404,.62389684,.44952244,1473,.28045562
30501,.29166666,.42008966,3144,.12252615
30502,.53404123,.43105915,3202,.23020336
30601,.77777779,.48505688,3303,.37726647
30602,.66766554,.42534411,3337,.28398761
30701,.38107288,.44714969,5928,.17039663
30702,.37078652,.42424244,2403,.15730338
30703,.58818096,.46153846,1083,.27146813
30801,.15419464,.37262726,5960,.057457127
30802,.28820962,.4087168,2061,.11779611
30803,.22108844,.38495728,1470,.085109606
30901,.14358075,.39695463,35931,.056995042
30902,.26794794,.4377256,11603,.11728767
30903,.23129104,.4055469,13857,.093799368
30904,.24909167,.40280506,14312,.10033538
30905,.0860589,.36896914,13514,.031753078
31001,.22717519,.40652943,47536,.092353404
31002,.45051479,.44579598,6022,.20083769
31003,.64101028,.43287349,26725,.27747637
31101,.80167633,.48125941,8113,.38581428
31201,.69316983,.47681513,4729,.33051386
