ID_INE_CENSO_MUN,prop_con_analfabeto_2012,prop_sin_carnet_2012,prop_sin_telefono_2012,prop_sin_acceso_a_salud_2012,prop_embarazo_adolescente_2012,prop_con_no_estudia_2012,prop_sin_agua_potable_2012,prop_sin_electricidad_2012,prop_sin_saneamiento_2012
10101,11.11,24.6,19.66,2.52,3.5999999,8.3500004,9.2700005,7.5999999,20.84
10102,24.969999,18.33,43.990002,2.6700001,3.6900001,8.6499996,24.26,23.51,41.91
10103,35.130001,46.700001,92.540001,16.889999,3.54,18.49,60.200001,83.110001,94.029999
10201,43.049999,41.919998,88.379997,17.790001,4.8800001,24.950001,53.07,80.339996,77.779999
10202,44.84,47.950001,78.029999,9.4099998,4.79,19.620001,44.290001,66.68,80.900002
10301,30.969999,36.23,64.419998,6.9200001,5.3499999,20.73,24.48,50.970001,68.519997
10302,46.990002,43.360001,78.690002,21.16,5.9200001,23.68,39.310001,61.830002,80.379997
10303,30.639999,37.889999,58.220001,8.2399998,3.75,15.75,48.689999,42.279999,64.379997
10304,46.52,29.059999,62.099998,11.62,3.6300001,21.85,21.68,44.619999,45.279999
10401,24.639999,31.67,60.459999,2.6600001,4.1500001,18.049999,32.740002,49.610001,61.849998
10402,32.419998,40.32,62.849998,6.4299998,5.9099998,20.549999,14.43,48.98,57.639999
10403,34.279999,28.709999,70.699997,6.7800002,4.0999999,18.139999,36.77,60.200001,68.360001
10404,26.59,26.77,62.779999,3.9200001,4.4099998,16.059999,15.02,49.16,75
10405,32.369999,27.809999,73.019997,3.8099999,3.3099999,13.94,40.509998,65.18,61.799999
10501,21.26,31.629999,49.400002,3.1199999,4.8000002,13.72,21.620001,31.879999,50.119999
10502,24.299999,33.959999,73.260002,6.29,5.3899999,16.200001,34.580002,49.349998,67.389999
10601,45.560001,26.93,66.07,10.47,3.3800001,17.32,34.52,48.290001,74.760002
10602,34.400002,25.860001,64.919998,2.74,2.4300001,12.61,48.540001,49.25,71.019997
10701,21.889999,16.23,47.259998,6.0300002,4.0500002,16.9,19.030001,29.969999,55.419998
10702,30.629999,25.219999,73.059998,15.06,4.3499999,19.91,53.48,56.619999,77.449997
10703,31.879999,34.439999,79.199997,20.57,6.4499998,31.469999,53.330002,68.050003,83.120003
10704,30.34,27.83,74.68,16.17,6.6399999,30.99,49.41,61.869999,79.190002
10801,26.84,34.919998,54.41,6.4899998,3.77,13.77,20.709999,38.27,53.82
10901,21.469999,18.76,63.110001,4.3800001,3.75,15.87,37.720001,54.200001,67.150002
10902,31.01,31.82,67.239998,13.53,5.3699999,25.82,40.209999,43.75,64.440002
10903,23.540001,21.66,65.629997,4.6799998,4.3600001,17.33,30.41,39.740002,48.59
11001,18.43,30.49,64.650002,6.5,4.9099998,15.24,14.61,37.439999,51.540001
11002,13.43,39.639999,70.650002,9.6000004,5.8400002,14.26,24.049999,59.200001,57.380001
11003,11.75,30.950001,54.029999,5.2199998,5.25,14.96,45.630001,39.349998,32.549999
20101,4.2399998,13.71,10.64,1.35,1.9,5.3200002,4.7199998,1.58,9.2399998
20102,17.85,20.5,46.119999,19.33,4.7199998,14,35.630001,20.790001,79.769997
20103,12.75,14.65,38.919998,9.8699999,2.9100001,8.29,45.82,15.4,58.23
20104,10.24,14.47,40.59,7.8699999,2.72,7.7199998,58.169998,21.57,92.18
20105,6.3299999,20.82,21.74,6.1399999,2.76,7.6700001,5.5700002,8.29,36.419998
20201,21.559999,17.15,48.959999,11.3,2.3199999,6.8099999,27.700001,24.48,51.560001
20202,27.030001,13.01,60.970001,12.82,1.95,5.6700001,48.080002,33.220001,66.82
20203,20.629999,13.24,56.549999,7.1500001,1.37,4.9200001,14.17,29.719999,65.209999
20204,22.219999,12.95,53.900002,7.6700001,1.76,4.2199998,58.84,28.450001,51.02
20205,20.98,7.6900001,61.02,7.96,1.42,4.1100001,22.23,31.549999,57.150002
20206,13.8,8.8999996,44.830002,2.96,.93000001,2.53,12.7,17.629999,42
20301,11.28,14.33,63.66,10.15,2.22,7.6999998,57.75,45.669998,82.910004
20302,11.79,14.52,79.480003,13.24,2.8099999,7.5900002,61.259998,61.330002,64.18
20303,8.0799999,9.1700001,88.540001,11.99,2.5999999,6.7399998,75.260002,71.529999,64.589996
20304,14.49,11.67,74.519997,12.29,2.76,6.8600001,36.610001,58.279999,74.830002
20305,5.7800002,9.75,79.029999,12.24,1.78,6.3800001,55.57,57.889999,76.620003
20306,7.8499999,12.52,67.760002,25.950001,3.95,14.3,54.389999,35.419998,91.209999
20307,3.46,8.6499996,84.080002,9.6899996,1.8200001,8.3000002,37.720001,57.790001,55.02
20308,17.700001,10.22,91.150002,9.6400003,1.23,5.52,81.790001,85.269997,88.599998
20401,25.58,11.61,77.029999,10.14,1.5,5.9299998,38.75,44.220001,84.410004
20402,27.809999,14.49,77.900002,12.12,1.71,7.21,21.370001,51.82,72.900002
20403,23.59,16.42,67.720001,13.18,2.29,6.5799999,30.709999,46.040001,78.209999
20404,30.42,19.690001,77.660004,14.95,1.8200001,7.21,39.139999,39.23,79.550003
20405,27.93,8.6899996,62.139999,8.6800003,1.15,3.3399999,31.52,35.68,87.970001
20501,22.540001,22.52,61.02,14.22,2.9100001,10.06,24.049999,37.529999,72.139999
20502,34.330002,26.43,78.669998,18.49,2.73,11.8,26.5,43.139999,66.290001
20503,25.049999,31.17,71.410004,16.719999,3.72,12.69,16.41,30.700001,80.129997
20601,17.280001,15.81,61.779999,11.82,3.51,10.04,36.720001,34.040001,67.559998
20602,8.0699997,23.41,55.419998,7.9099998,4.9499998,12.97,34.310001,33.349998,62.419998
20603,12.99,16.07,67.150002,10.74,3.6600001,11.44,53.490002,37.279999,67.989998
20604,18.540001,19.18,53.259998,15.33,3.51,8.96,54.529999,33.200001,64.559998
20605,31.99,17.809999,58.75,13.75,1.72,8.4499998,10.46,30.280001,72.230003
20606,5.6799998,23.139999,26.530001,3.55,4.0500002,10.13,33.900002,11.17,70.870003
20607,7.4699998,23.360001,29.93,6.75,5.98,13.58,11.38,10.05,76.959999
20608,5.9400001,21.65,67.510002,7.1399999,4.6700001,12.83,56.84,55.639999,61.970001
20701,14.74,31.139999,60.389999,18.610001,5.4499998,13.85,31.42,34.209999,69.360001
20702,15.29,13.14,84.93,16.41,3.5599999,13.11,62.419998,45.610001,66.190002
20801,7.5700002,12.98,39.34,6.8499999,2.8,6.73,28.76,22.51,64.790001
20802,21.18,15.01,49.73,8.1999998,1.16,5.3099999,23.469999,22.23,66.57
20803,22,9.8199997,47.720001,15.78,3.28,10.66,36.639999,25.4,59.790001
20804,15.96,14.93,35.470001,10.31,2.4400001,6.0900002,7.73,13.96,69.330002
20805,15.36,10.5,79.129997,8.9200001,1.58,5.5599999,59.889999,69.129997,46.299999
20806,11.81,9.5200005,65.919998,10.86,2.4400001,7.3099999,46.75,43.549999,38.490002
20807,26.83,10.56,46.450001,10.24,2.28,7.5900002,33.32,21.610001,70.529999
20901,15.55,8.4099998,57.990002,10.98,2.26,8.25,29.85,28.52,63.939999
